,Country/Region,Province/State,Lat,Long
0,Afghanistan,,34.03911,67.709953
1,Albania,,41.2533,20.1683
2,Algeria,,28.1339,1.6596
3,Andorra,,42.606300000000005,1.5218
4,Angola,,-11.1027,17.8739
5,Antarctica,,-71.8499,23.347
6,Antigua and Barbuda,,17.160800000000002,-61.7964
7,Argentina,,-38.3161,-63.6167
8,Armenia,,40.1691,45.0382
9,Australia,Australian Capital Territory,-35.3735,149.0124
10,Australia,New South Wales,-33.7688,151.2093
11,Australia,Northern Territory,-12.3634,130.8456
12,Australia,Queensland,-27.369799999999998,153.0251
13,Australia,South Australia,-34.8285,138.6007
14,Australia,Tasmania,-42.7821,147.3272
15,Australia,Victoria,-37.7136,144.9631
16,Australia,Western Australia,-31.8505,115.8605
17,Austria,,47.6162,14.5501
18,Azerbaijan,,40.2431,47.5769
19,Bahamas,,25.125885,-78.035889
20,Bahrain,,26.1275,50.55
21,Bangladesh,,23.785,90.3563
22,Barbados,,13.293899999999999,-59.5432
23,Belarus,,53.8098,27.9534
24,Belgium,,50.9333,4.469936
25,Belize,,17.289900000000003,-88.4976
26,Benin,,9.4077,2.3158
27,Bhutan,,27.6142,90.4336
28,Bolivia,,-16.190199999999997,-63.5887
29,Bosnia and Herzegovina,,44.0159,17.6791
30,Botswana,,-22.228499999999997,24.6849
31,Brazil,,-14.135,-51.9253
32,Brunei,,4.6353,114.7277
33,Bulgaria,,42.8339,25.4858
34,Burkina Faso,,12.3383,-1.5616
35,Burma,,22.0162,95.956
36,Burundi,,-3.2731,29.9189
37,Cabo Verde,,16.6388,-23.0418
38,Cambodia,,11.65,104.9167
39,Cameroon,,3.948,11.5021
40,Canada,Alberta,54.033300000000004,-116.5765
41,Canada,British Columbia,53.8267,-127.6476
42,Canada,Diamond Princess,0.1,0.0
43,Canada,Grand Princess,0.1,0.0
44,Canada,Manitoba,53.8609,-98.8139
45,Canada,New Brunswick,46.6653,-66.4619
46,Canada,Newfoundland and Labrador,53.2355,-57.6604
47,Canada,Northwest Territories,64.9255,-124.8457
48,Canada,Nova Scotia,44.782000000000004,-63.7443
49,Canada,Nunavut,70.3998,-83.1076
50,Canada,Ontario,51.3538,-85.3232
51,Canada,Prince Edward Island,46.6107,-63.4168
52,Canada,Quebec,53.0399,-73.5491
53,Canada,Repatriated Travellers,,
54,Canada,Saskatchewan,53.0399,-106.4509
55,Canada,Yukon,64.3823,-135.0
56,Central African Republic,,6.7111,20.9394
57,Chad,,15.5542,18.7322
58,Chile,,-35.5751,-71.543
59,China,Anhui,31.925700000000003,117.2264
60,China,Beijing,40.2824,116.4142
61,China,Chongqing,30.157200000000003,107.874
62,China,Fujian,26.178900000000002,117.9874
63,China,Gansu,35.851800000000004,104.2861
64,China,Guangdong,23.4417,113.4244
65,China,Guangxi,23.9298,108.7881
66,China,Guizhou,26.9154,106.8748
67,China,Hainan,19.295900000000003,109.7453
68,China,Hebei,39.649,116.1306
69,China,Heilongjiang,47.962,127.7615
70,China,Henan,37.9957,114.9042
71,China,Hong Kong,22.400000000000002,114.2
72,China,Hubei,31.0756,112.2707
73,China,Hunan,27.7104,111.7088
74,China,Inner Mongolia,44.1935,113.9448
75,China,Jiangsu,33.0711,119.455
76,China,Jiangxi,27.714000000000002,115.7221
77,China,Jilin,43.7661,126.1923
78,China,Liaoning,41.3956,122.6085
79,China,Macau,22.2667,113.55
80,China,Ningxia,37.3692,106.1655
81,China,Qinghai,35.8452,95.9956
